Product,Name,Price (INR),Rating,Comment Heading,Comment
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Ankit Thakkar,11999.0,5,Awesome,"Ok firstly let me start by saying that I had to wait 12 days from the time of ordering to the time of receiving the product. Installation by Jeeves was scheduled 5 days from me receiving the product, I had to mail and contact them regularly to get installation done the next day, I don't blame them cause I had ordered during the big billion days so it was natural that it was going to delay but I feel that they could have promptly have increased their staff during this period.Now, coming to t..."
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Mahesh Kumar H,11999.0,5,Brilliant,"I have bought this TV after reading lot of Reviews also by Comparing with MI TV 32 Inch. Initially I have worried about my choice. But After Receiving the TV here are my positive Reviews.1) If you watch TV with HD enabled Channels, Then the clarity is awesome, and picture quality is Cristal clear.Normal Channels picture quality also very good which never disappoint us.2) There is no lags or struck to you use 1080p videos.3) Even though 16W Sound, Sound clarity is good.4) Android Experie..."
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Sai Krishna,11999.0,4,Good quality product,I got this TV after 15days from order date.... Price quality is very good and sound quality is also very good.. It supports HDR 10 AND 1080p 60fps videos.. Its consist 1.5gb ram... And I'm using official amazon prime and jio TV which I have  side loaded... And apps are working perfectly... No issue... I'm posting this review after 15days of usage... It supports Bluetooth headset and I'm using Bluetooth home theater...and coming to the connectivity.. WiFi is range good and as well as Bluetooth...
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Himanshu Mawdi,11999.0,5,Brilliant,"EXCELLENT !!!!Pros:1 Very nice picture quality.2 Micro dimming3 loud sound with Dolby technology4 Certified android5 Google apps like play store, play music, play games, etc6 android 8.07 Google assistant with voice search.8 you can download games and some games can be controlled by its own remote.9 varieties of pictures and sound modes.10 great contrast and brightness.11 WiFi and Bluetooth12 A+ grade panel13 user friendly interfaceNO CONS. ABOUT THIS BEST TV.LOVE ITTHANKS ..."
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,amar singh rajawat,11999.0,5,Wonderful,wonderfull and awesome tv by tcl...friends i am reviewing honestly after using 15 days. in this budget it is a best tv really there is no comparison its a real 8.0 oreo android tv with google play store. there are many essential apps available that you can install and you can side upload too. all movie and show apps like netflix you tube voot hotstar erosnow prime video hungama play yuptv jiocinema jio tv works perfect and smoothly sound and picture quality superb. mobile casting screen mirro...
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Mohammad Shauqat ali,11999.0,5,Fabulous!,"Excellent tv3 months ago i purchased iffalcon 49"" inches tv from flipkart.Tcl or iffalcon is my best choice for entertainment like awesome picture quality, dolby sound, android certified, best design..installation on time and free installed. in this budget  this is best"
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Sharma happy,11999.0,5,Fabulous!,totally satisfied with product on this price range.superb picture qualitygood sound** big thing is u will get Android 8.0 at this price so u can install jio TV on this TV so u can enjoy free cost of TV on this device.don't thing just go for it & very good service by Flipkart.
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Trinadh Babu,11999.0,1,Hated it!,we bought the TV because it's Flipkart assured and the ratings and reviews. The video about the product made by Flipkart is very convincing that we fell in to the trap. Now I feel like I should have spent the money for an orphanage or home for the elderly that would have made me feel more happy and satisfied. I dont know if am the only one who got the product full of flaws and don't know what to do. I really appreciate some help.
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Jithesh Puthran P,11999.0,5,Just wow!,Newly purchased tv from Iffalcon is installed  by  Mr. Kiran Kumar ( m005606) Kiran called us and visited home to install tv . He installed tv and explained all details of operation of tv his work is very nice  . He is having through of installation of tv. We are very happy with his service ...Jithesh mangalore
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,Sonu Singh,11999.0,5,Excellent,"Hello! I bought this TV on 23rd of October 2018 and in next 2-3 days installation have been done. since, it was a new brand and specially a Chinese one, although it is a TCL co-brand TV,  I was some-how scarred about it's realibility and stability, so decided to bought 32"" and decided to wait and watch and now, finally decided to writes. now,  i can say,  it is a very nice TV, it has all the features whatever you're expected in any Smart TV. picture is too clear, pixel are not getting blurry..."
